iter	Logloss
0	0.6628969821
1	0.6336951998
2	0.6088105011
3	0.5893825452
4	0.5730038963
5	0.5573538997
6	0.5451390939
7	0.5373734511
8	0.5314767281
9	0.5221714576
10	0.5125177008
11	0.5064141835
12	0.5019900916
13	0.4967702689
14	0.4931113435
15	0.4888246033
16	0.4843168177
17	0.4807216922
18	0.4783490735
19	0.4765928903
20	0.4737978673
21	0.4711643254
22	0.4690295342
23	0.4667505674
24	0.4649297053
25	0.4635958902
26	0.4618243636
27	0.4603459819
28	0.4577149128
29	0.4569060546
30	0.4551564504
31	0.4537010823
32	0.4527201239
33	0.4521170752
34	0.4511277203
35	0.4507360658
36	0.4504594336
37	0.4501531634
38	0.4494271861
39	0.4485183495
40	0.4479466823
41	0.4477474805
42	0.4473566144
43	0.4469447531
44	0.4468131776
45	0.4459319203
46	0.4454708964
47	0.4451376717
48	0.4442726019
49	0.4437517451
50	0.4428395873
51	0.4426275582
52	0.441729037
53	0.4416427066
54	0.4416240967
55	0.4414170815
56	0.4412652639
57	0.4406281326
58	0.4401752563
59	0.4401062117
60	0.4398326161
61	0.4392273051
62	0.4391789034
63	0.4389986222
64	0.4387529752
65	0.4387157481
66	0.4381913601
67	0.4378184141
68	0.4377309541
69	0.4371366695
70	0.43656275
71	0.4365460581
72	0.4364603161
73	0.436031408
74	0.4359514696
75	0.4354011485
76	0.4352408514
77	0.4350141143
78	0.4350140967
79	0.4344441008
80	0.434311622
81	0.4338475471
82	0.4336731196
83	0.4334923945
84	0.4331676436
85	0.4331373579
86	0.4330075855
87	0.4326849183
88	0.4326849154
89	0.4326389632
90	0.4326379384
91	0.4326189079
92	0.4326179077
93	0.4324707792
94	0.4323956845
95	0.4322338291
96	0.4321840061
97	0.432146372
98	0.4319293754
99	0.4319139231
100	0.4318833027
101	0.431865519
102	0.4314839736
103	0.4310810569
104	0.4304406212
105	0.4304135058
106	0.4303382641
107	0.430279901
108	0.4302799006
109	0.4299786018
110	0.4298016252
111	0.429771835
112	0.4296175895
113	0.4291579166
114	0.4291370725
115	0.429018879
116	0.4289078828
117	0.4288891699
118	0.4285914993
119	0.428362531
120	0.4282247246
121	0.4281084931
122	0.4277517972
123	0.4275918852
124	0.4275218755
125	0.4274645983
126	0.4272589244
127	0.4272262434
128	0.4271985824
129	0.4269993765
130	0.4269350001
131	0.426653385
132	0.4266312647
133	0.4264072689
134	0.426078575
135	0.4256570454
136	0.4255904976
137	0.4255904861
138	0.4255828072
139	0.4252740194
140	0.4250255598
141	0.4247583146
142	0.4243864951
143	0.4243864948
144	0.4243864932
145	0.4242780017
146	0.4241550122
147	0.4239818149
148	0.4237629787
149	0.4235806688
150	0.4235015935
151	0.4234996939
152	0.4233600071
153	0.4233600056
154	0.4233501528
155	0.4233472443
156	0.4233311219
157	0.4231927811
158	0.4230119403
159	0.4227998009
160	0.4225449668
161	0.4225031416
162	0.4225031413
163	0.422351576
164	0.4222040122
165	0.4221788352
166	0.4218876751
167	0.4216466794
168	0.4213986121
169	0.4213687614
170	0.4212613113
171	0.4212116905
172	0.4209258498
173	0.4206569519
174	0.4205714126
175	0.4201126448
176	0.4201117275
177	0.4198055674
178	0.4197277134
179	0.4196396316
180	0.4195172094
181	0.4193232667
182	0.4191393336
183	0.4189379708
184	0.4186065329
185	0.4182798405
186	0.4181965238
187	0.4177414101
188	0.4177413912
189	0.4175831143
190	0.4175828103
191	0.4175508174
192	0.4174185766
193	0.4172422264
194	0.417182885
195	0.4168166584
196	0.4161269841
197	0.4161091749
198	0.4159684797
199	0.415952194
200	0.4158767395
201	0.4157976302
202	0.4156951185
203	0.4156660255
204	0.4156209209
205	0.4152407213
206	0.4151327472
207	0.4150736604
208	0.4148582827
209	0.414828621
210	0.4147322138
211	0.4146128337
212	0.4145151247
213	0.4144531959
214	0.4143763528
215	0.4142604482
216	0.4137914155
217	0.4135620403
218	0.4134493229
219	0.413417793
220	0.4131467593
221	0.4130260234
222	0.4127570457
223	0.412704274
224	0.4126813605
225	0.4126368197
226	0.4123660968
227	0.4122653077
228	0.4122213109
229	0.4119715671
230	0.4118371549
231	0.4116876031
232	0.411572682
233	0.4112184121
234	0.4109421521
235	0.410778285
236	0.4107265824
237	0.4105332452
238	0.4105205157
239	0.4103277723
240	0.4099738551
241	0.4098528678
242	0.409615672
243	0.4094470885
244	0.4094411939
245	0.4091575669
246	0.408678824
247	0.4086642121
248	0.4085720196
249	0.4083651583
250	0.4083332682
251	0.4081452449
252	0.4080367325
253	0.407880491
254	0.4076459019
255	0.4076012005
256	0.4075829259
257	0.4074784235
258	0.4071677299
259	0.4070132323
260	0.4069651851
261	0.4068929558
262	0.4067358262
263	0.4066912476
264	0.4065839864
265	0.406403109
266	0.406329019
267	0.4063194865
268	0.4061168751
269	0.4057857966
270	0.405758719
271	0.405688863
272	0.4055933471
273	0.405461704
274	0.4054147715
275	0.4051717461
276	0.4050721057
277	0.4049523647
278	0.4048429947
279	0.4047517535
280	0.4046093849
281	0.4042678759
282	0.4041635672
283	0.4040771723
284	0.4038098862
285	0.4036070457
286	0.4035145483
287	0.4034418331
288	0.4033188207
289	0.4033102606
290	0.4030671451
291	0.4029549383
292	0.4028753532
293	0.4028301831
294	0.4028077301
295	0.402651043
296	0.4025480903
297	0.4021647667
298	0.401700606
299	0.4016044931
300	0.4014515173
301	0.4011843538
302	0.4011796979
303	0.4010948798
304	0.4010075296
305	0.4008004899
306	0.4006523155
307	0.4006246958
308	0.4002845537
309	0.3999475658
310	0.3998967846
311	0.3997826539
312	0.3996296305
313	0.399611699
314	0.3995858944
315	0.3994743757
316	0.3994353415
317	0.3992249441
318	0.399014307
319	0.3989727195
320	0.3988185265
321	0.3986523732
322	0.3981951859
323	0.3980996807
324	0.3980018806
325	0.397828925
326	0.3976751439
327	0.3975451481
328	0.3973535146
329	0.3970879476
330	0.3969573674
331	0.3968810286
332	0.3968355831
333	0.3965036608
334	0.396249281
335	0.3959896679
336	0.3958841753
337	0.3956915148
338	0.3955248022
339	0.3953510637
340	0.3951778266
341	0.3949401306
342	0.3948878068
343	0.3944852671
344	0.3944155565
345	0.3942936945
346	0.3940526779
347	0.3939541813
348	0.3938683413
349	0.3938141399
350	0.3935562834
351	0.3934611382
352	0.3933246424
353	0.3931200106
354	0.3929531072
355	0.3926124184
356	0.3924982858
357	0.3923177262
358	0.3921538394
359	0.3920388526
360	0.391917588
361	0.3916581996
362	0.3915218449
363	0.3913310904
364	0.3909729984
365	0.3908772252
366	0.3907503516
367	0.3904516721
368	0.3903416137
369	0.3903171514
370	0.3901887222
371	0.3901303367
372	0.3898450817
373	0.3898013264
374	0.3897526409
375	0.389541038
376	0.3894619768
377	0.3893623335
378	0.3892540147
379	0.389153336
380	0.3889496589
381	0.3888251046
382	0.3886668032
383	0.3886221265
384	0.3885177403
385	0.3884429037
386	0.3883256847
387	0.3882467118
388	0.3881309613
389	0.3879350917
390	0.3878919307
391	0.3878556382
392	0.3878094924
393	0.3877170865
394	0.3876119961
395	0.3871182289
396	0.3868039877
397	0.3866938884
398	0.3863763063
399	0.3862946455
400	0.3861770421
401	0.3860284749
402	0.385873588
403	0.3858608411
404	0.3856842065
405	0.3855340444
406	0.385273852
407	0.3851642929
408	0.3851118577
409	0.385000325
410	0.3848657411
411	0.3847540396
412	0.3846736255
413	0.3845593929
414	0.3844594423
415	0.384391128
416	0.3841246409
417	0.3841125019
418	0.3840097553
419	0.3838777364
420	0.3836522013
421	0.3833531874
422	0.3832819674
423	0.3829977582
424	0.3829216871
425	0.3828097836
426	0.3826767674
427	0.3825363026
428	0.3824863618
429	0.3823476868
430	0.3822840242
431	0.3821560608
432	0.3819310797
433	0.3817656366
434	0.3816187351
435	0.3814246313
436	0.3811882017
437	0.3811200919
438	0.3809464475
439	0.3809367986
440	0.3807966292
441	0.3804267178
442	0.3803391141
443	0.3801978084
444	0.3801082861
445	0.3800763963
446	0.3798797425
447	0.3797724759
448	0.37969297
449	0.3795717075
450	0.3795235318
451	0.3795133624
452	0.3793826731
453	0.3793074437
454	0.3790513199
455	0.3789519782
456	0.3786846757
457	0.3786400871
458	0.3784867707
459	0.3784270075
460	0.3783753377
461	0.3782978375
462	0.3782256392
463	0.3781308092
464	0.3779503225
465	0.3777517366
466	0.3775775771
467	0.3773736011
468	0.3772860647
469	0.3770548619
470	0.3768575721
471	0.3766368569
472	0.3764442343
473	0.3763218649
474	0.3762318503
475	0.3761507143
476	0.3761231061
477	0.3760107398
478	0.3759438726
479	0.375789658
480	0.3756710351
481	0.3756343454
482	0.3754132194
483	0.3753210302
484	0.3751999821
485	0.3751411928
486	0.3750346091
487	0.3749679697
488	0.3749140605
489	0.3747476889
490	0.3747063688
491	0.3746238974
492	0.3744876202
493	0.3744435571
494	0.3743010371
495	0.3742319567
496	0.3740506305
497	0.373869045
498	0.3737943044
499	0.3736548071
