iter	Passed	Remaining
0	64	32327
1	67	16837
2	71	11802
3	74	9178
4	76	7611
5	79	6530
6	82	5830
7	85	5228
8	86	4720
9	89	4407
10	93	4172
11	96	3927
12	98	3700
13	101	3511
14	104	3369
15	107	3240
16	110	3142
17	112	3025
18	115	2926
19	117	2818
20	120	2749
21	123	2677
22	126	2629
23	131	2604
24	133	2539
25	135	2471
26	138	2422
27	141	2381
28	145	2369
29	149	2335
30	151	2291
31	154	2252
32	156	2214
33	159	2180
34	162	2154
35	163	2113
36	166	2088
37	169	2061
38	172	2036
39	175	2019
40	179	2006
41	181	1980
42	184	1955
43	186	1936
44	188	1903
45	191	1886
46	193	1869
47	197	1855
48	199	1837
49	202	1823
50	205	1807
51	207	1789
52	210	1775
53	212	1753
54	213	1729
55	216	1720
56	219	1709
57	222	1696
58	225	1685
59	227	1671
60	230	1659
61	232	1644
62	234	1628
63	237	1618
64	240	1611
65	242	1592
66	244	1580
67	247	1572
68	249	1561
69	252	1548
70	254	1540
71	256	1526
72	258	1513
73	262	1509
74	263	1495
75	266	1484
76	269	1479
77	273	1479
78	275	1468
79	277	1458
80	280	1450
81	283	1446
82	286	1437
83	288	1429
84	291	1424
85	294	1419
86	297	1412
87	300	1407
88	301	1393
89	303	1384
90	305	1372
91	307	1362
92	308	1352
93	312	1349
94	315	1346
95	326	1371
96	328	1366
97	331	1360
98	335	1357
99	337	1349
100	339	1342
101	341	1332
102	344	1328
103	348	1328
104	352	1325
105	353	1315
106	356	1310
107	359	1305
108	360	1293
109	363	1287
110	365	1281
111	368	1275
112	370	1269
113	373	1264
114	375	1257
115	378	1252
116	380	1246
117	382	1238
118	385	1235
119	389	1232
120	391	1225
121	394	1223
122	397	1217
123	399	1211
124	402	1207
125	405	1204
126	409	1202
127	412	1198
128	415	1194
129	418	1190
130	420	1185
131	423	1179
132	425	1173
133	431	1179
134	434	1174
135	440	1180
136	443	1175
137	447	1172
138	453	1177
139	463	1192
140	473	1205
141	497	1253
142	504	1259
143	508	1257
144	512	1254
145	518	1257
146	525	1260
147	533	1269
148	536	1264
149	539	1259
150	543	1256
151	546	1250
152	548	1244
153	549	1234
154	551	1226
155	553	1220
156	555	1212
157	559	1211
158	562	1206
159	565	1201
160	568	1196
161	570	1190
162	572	1182
163	574	1177
164	577	1173
165	580	1168
166	585	1166
167	588	1162
168	590	1156
169	593	1152
170	596	1147
171	599	1143
172	602	1139
173	605	1134
174	608	1129
175	611	1125
176	613	1119
177	616	1114
178	618	1109
179	622	1106
180	625	1101
181	627	1097
182	630	1092
183	632	1086
184	635	1081
185	638	1078
186	641	1074
187	645	1070
188	646	1064
189	649	1059
190	652	1055
191	654	1050
192	657	1045
193	659	1040
194	663	1038
195	667	1034
196	670	1030
197	673	1026
198	675	1022
199	678	1017
200	681	1014
201	684	1009
202	687	1005
203	690	1001
204	692	996
205	695	992
206	697	987
207	700	982
208	703	979
209	706	975
210	709	971
211	712	967
212	715	964
213	718	959
214	720	955
215	723	950
216	725	946
217	728	942
218	731	938
219	734	934
220	736	930
221	739	926
222	742	921
223	745	918
224	748	914
225	750	910
226	754	907
227	757	903
228	760	899
229	763	896
230	765	892
231	769	888
232	771	884
233	775	881
234	777	876
235	780	873
236	783	869
237	785	865
238	789	861
239	791	857
240	794	853
241	797	849
242	799	845
243	802	841
244	804	837
245	807	833
246	810	829
247	812	825
248	814	821
249	817	817
250	819	813
251	822	809
252	825	805
253	828	802
254	831	798
255	834	795
256	837	791
257	839	787
258	841	783
259	844	779
260	846	775
261	848	771
262	851	767
263	854	764
264	857	760
265	860	756
266	863	753
267	866	750
268	869	746
269	872	742
270	875	739
271	877	735
272	880	732
273	882	728
274	885	724
275	888	720
276	890	716
277	892	712
278	895	709
279	897	705
280	900	701
281	902	698
282	905	694
283	908	690
284	911	687
285	913	683
286	916	680
287	918	676
288	921	672
